#
# Joint Pamir-Hindu Kush earthquake catalog for events deeper 50 km from Kufner et al., 2016
# obtained from the TIPAGE/FERGHANA/TIPTIMON networks 
# (Mechie et al., 2012/Feld et al., 2015/Schurr et al., 2012/13)
# between 2012-14 & 2008-10.
#
# Pamir events are mainly relocated from Sippl et al., 2013 (JGR)
# 
# See Kufner et. al. 2016 for details on location procedure 
# - "absError(km)" -- absolute location error (value refers to the radius of a sphere with the same volume as the error ellipsoide calculated in NonLinLoc)  
# - "AveragedRelativeError (km)" -- averaged relative location error from the double difference scheme. "-" if only single event location exists. 
# - the separation in "deepPamir" and "deepHinduKush" events is mainly due to the different dip angles of the seismic domains beneath Pamir and Hindu Kush
#   
# longitude(deg) latitude(deg) depth(km) local_magnitude absError(km) AveragedRelativeError(km) area(deepPamir/deepHinduKush)
70.972 36.627 50.40 3.3 1.8 - deepHinduKush
69.715 36.380 50.64 3.2 5.5 - deepHinduKush
71.371 36.578 51.30 2.9 7.6 1.9 deepHinduKush
70.720 37.203 51.31 3.3 2.4 - deepPamir
68.740 36.424 52.04 5.5 9.7 - deepHinduKush
69.693 38.821 52.37 2.0 6.0 - deepPamir
70.735 37.167 52.40 2.8 2.1 - deepPamir
71.310 36.883 53.17 2.8 2.5 1.9 deepPamir
71.290 36.614 53.45 2.7 5.7 1.9 deepHinduKush
70.989 36.587 53.57 2.7 2.7 - deepHinduKush
70.814 36.694 53.87 3.7 1.9 1.9 deepHinduKush
71.266 36.828 53.92 3.6 3.8 1.9 deepPamir
70.435 36.421 54.09 3.1 2.2 - deepHinduKush
70.910 36.843 54.10 2.6 2.4 1.9 deepPamir
70.764 36.576 54.17 2.6 2.5 - deepHinduKush
75.516 39.883 54.25 4.1 6.0 - deepPamir
70.995 36.558 54.26 2.9 4.1 - deepHinduKush
73.586 39.471 54.27 2.1 6.3 - deepPamir
70.768 36.934 54.42 3.3 7.9 - deepPamir
70.037 36.528 54.88 2.4 7.9 - deepHinduKush
71.527 36.619 54.96 2.5 2.7 1.9 deepHinduKush
71.328 36.520 54.97 2.9 2.5 1.9 deepHinduKush
71.062 36.901 55.12 3.2 1.6 1.9 deepPamir
73.163 37.177 55.14 2.6 4.2 - deepPamir
71.308 37.018 55.21 2.5 3.2 - deepPamir
71.636 36.734 55.22 2.2 2.9 - deepPamir
71.072 36.776 55.25 3.0 1.7 1.9 deepPamir
69.880 36.554 55.43 2.3 9.3 - deepHinduKush
71.324 36.563 55.45 3.7 2.3 1.9 deepHinduKush
70.823 36.840 55.53 3.5 3.4 - deepPamir
72.197 37.025 55.54 2.7 3.4 1.9 deepPamir
71.280 36.850 55.63 3.7 2.5 1.9 deepPamir
69.819 36.027 55.69 2.8 4.1 - deepHinduKush
71.305 36.315 55.77 2.7 4.1 - deepHinduKush
71.329 36.556 55.78 3.1 2.9 1.9 deepHinduKush
75.526 40.114 55.96 3.4 18.4 - deepPamir
70.804 36.698 56.35 3.6 2.3 1.9 deepHinduKush
71.121 36.809 56.43 2.9 1.5 1.9 deepPamir
69.824 35.732 56.46 3.0 7.0 - deepHinduKush
70.408 36.222 56.54 2.0 15.2 - deepHinduKush
70.935 36.112 56.85 3.3 9.2 - deepHinduKush
